sample_group	scientific_name	latitude_wgs84	longitude_wgs84	etrs_tm35fin_easting_m	etrs_tm35fin_northing_m	coordinate_accuracy_m	temp_mean_7d	temp_mean_14d	temp_mean_30d	temp_min_7d	temp_max_7d	rain_mean_7d	rain_mean_14d	rain_mean_30d	rainy_days_14d	event_year	event_month	day_of_year	Has Boletus edulis	longitude_partition
other_agaricoid	Lycoperdon umbrinum	61.22581	21.72611	216999.211	6799367.756	10	14.5611	15.8461	16.4898	9.3139	19.7941	8.9115	6.7402	4.5242	13	2021	8	233	0	1
other_agaricoid	Laccaria laccata	61.22391	21.72879	217125.727	6799144.985	831	13.6945	13.3625	15.4825	4.2488	20.4323	2.63	1.5433	1.1882	6	2020	9	249	0	1
other_agaricoid	Inocybe geophylla	63.092852	21.729567	234109.162	7006850.7	10	9.9571	8.7274	9.2355	2.8822	14.8315	1.9155	2.4013	1.946	4	2021	10	277	0	1
boletus_edulis	Boletus edulis	63.0709	21.7304	233950.473	7004407.509	1	15.063	14.6723	15.9444	8.5666	22.7708	0.0049	3.9689	2.2147	5	2018	9	247	1	1
other_agaricoid	Tricholoma portentosum	63.092472	21.730765	234166.026	7006803.504	10	9.9571	8.7274	9.2355	2.8822	14.8315	1.9155	2.4013	1.946	4	2021	10	277	0	1
other_agaricoid	Strobilurus stephanocystis	60.624952	21.734121	212049.471	6732557.042	1	7.6648	5.8971	5.3799	0.73	15.6058	0.334	0.5793	1.2005	6	2020	5	129	0	1
boletus_edulis	Boletus edulis	60.8607	21.73787	214359.371	6758740.293	100	12.4856	12.7133	14.9247	0.0573	19.8293	1.7331	1.2185	2.6297	6	2024	9	270	1	1
other_agaricoid	Crepidotus calolepis	63.051087	21.745217	234516.756	7002144.142	10	3.1515	6.2166	9.1572	-2.2392	9.7062	1.7675	4.5999	2.8005	13	2020	10	294	0	1
boletus_edulis	Boletus edulis	61.21372	21.74808	218068.102	6797929.072	134	11.3538	11.8335	13.2749	1.5525	16.1536	1.678	2.1985	2.1953	10	2020	9	262	1	1
other_agaricoid	Amanita muscaria	60.745404	21.755966	214313.576	6745847.972	1	19.9255	22.4003	21.6474	11.6815	31.4349	1.9656	1.4187	1.0778	4	2018	8	220	0	1
boletus_edulis	Boletus edulis	60.74542	21.75615	214323.727	6745848.949	488	15.9998	16.1765	16.706	10.4588	25.4978	2.9811	2.3958	2.5721	6	2024	9	258	1	1
boletus_edulis	Boletus edulis	60.74542	21.75615	214323.727	6745848.949	488	17.7065	16.6511	17.0614	10.2197	26.1411	4.632	4.2615	3.7737	7	2026	7	200	1	1
